Respondent,Age Group,Annual Income,How often do you travel,Regions,Type of Travel,Experienced any difficulties,Quality,Cost ,Access  ,Language barrier,Filing paperwork ,Plan to pay,Travel for Healthcare
13,25-32,"$101,000 - $125,000",About once a month,North America/USA,Business,No,3,1,2,5,4,Travel insurance plan (specifically bought for your trip),Agree
13,,,,Asia,Tourist,,,,,,,,
13,,,,Africa,Study Abroad,,,,,,,,
13,,,,Europe,Adventure/Physical challenge,,,,,,,,
13,,,,Middle East,,,,,,,,,
14,25-32,"$76,000 - $100,000",About once a month,North America/USA,Business,No,3,2,1,5,4,Usually no plan (never think of it),Neither agree nor disagree
14,,,,Asia,Tourist,,,,,,,,
14,,,,Europe,,,,,,,,,
15,25-32,No income/student,Multiple times a year,Asia,Business,No,2,1,3,4,5,A regular insurance plan (with international coverage),Agree
15,,,,,Tourist,,,,,,,,
15,,,,,Study Abroad,,,,,,,,
16,33-41,"$200,000+",Multiple times a year,North America/USA,Business,Yes,1,3,2,4,5,Travel insurance plan (specifically bought for your trip),Disagree
16,,,,South America,Tourist,,,,,,,,
16,,,,,Other,,,,,,,,
17,25-32,No income/student,About once a year,North America/USA,Tourist,No,0,0,0,0,0,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
17,,,,Asia,Study Abroad,,,,,,,,
18,33-41,No income/student,About once a month,North America/USA,Business,No,1,5,3,2,4,A regular insurance plan (with international coverage),Disagree
18,,,,Asia,Tourist,,,,,,,,
18,,,,Europe,,,,,,,,,
19,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,2,3,1,5,4,Usually no plan (never think of it),Strongly agree
19,,,,Asia,,,,,,,,,
19,,,,Europe,,,,,,,,,
20,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,1,3,5,4,Travel insurance plan (specifically bought for your trip),Agree
20,,,,,Tourist,,,,,,,,
20,,,,,Study Abroad,,,,,,,,
21,33-41,"$76,000 - $100,000",About once a year,South America,Other,No,1,2,3,4,5,A regular insurance plan (with international coverage),Agree
22,25-32,No income/student,Multiple times a year,North America/USA,Business,No,1,3,2,4,5,A regular insurance plan (with international coverage),Strongly agree
22,,,,Asia,Tourist,,,,,,,,
22,,,,Europe,Medical,,,,,,,,
23,33-41,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,1,2,3,4,5,Travel insurance plan (specifically bought for your trip),Strongly agree
23,,,,South America,Tourist,,,,,,,,
23,,,,Asia,Study Abroad,,,,,,,,
23,,,,Europe,,,,,,,,,
24,33-41,"0-30,000",Multiple times a year,North America/USA,Business,No,3,2,4,5,1,A regular insurance plan (with international coverage),Neither agree nor disagree
24,,,,South America,Tourist,,,,,,,,
24,,,,,Medical,,,,,,,,
24,,,,,Religious,,,,,,,,
25,25-32,"$126,000 - $150,000",About once a month,North America/USA,Business,No,0,0,0,0,0,Usually no plan (never think of it),Agree
25,,,,South America,Tourist,,,,,,,,
25,,,,,Adventure/Physical challenge,,,,,,,,
26,25-32,"$101,000 - $125,000",About once a year,Asia,Tourist,No,0,0,0,0,0,Travel insurance plan (specifically bought for your trip),Disagree
26,,,,Africa,,,,,,,,,
27,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,2,3,1,4,5,Usually no plan (never think of it),Agree
28,41-65,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,1,3,2,4,5,A regular insurance plan (with international coverage),Agree
28,,,,South America,Tourist,,,,,,,,
28,,,,Asia,,,,,,,,,
28,,,,Europe,,,,,,,,,
29,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,3,1,2,4,5,A regular insurance plan (with international coverage),Neither agree nor disagree
29,,,,,Adventure/Physical challenge,,,,,,,,
30,25-32,"$200,000+",Multiple times a year,North America/USA,Business,No ,2,4,1,3,5,Usually no plan (never think of it),Neither agree nor disagree
30,,,,South America,Tourist,,,,,,,,
30,,,,Europe,Adventure/Physical challenge,,,,,,,,
31,33-41,No income/student,Multiple times a year,North America/USA,Business,No,1,3,2,4,5,A regular insurance plan (with international coverage),Disagree
31,,,,Europe,Tourist,,,,,,,,
32,33-41,"$101,000 - $125,000",About once a month,North America/USA,Business,Yes,1,2,3,4,5,Usually no plan (never think of it),Agree
32,,,,Africa,Religious,,,,,,,,
33,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,1,3,2,4,5,Travel insurance plan (specifically bought for your trip),Agree
33,,,,Asia,,,,,,,,,
34,25-32,"$31,000 - $50,000",Multiple times a year,North America/USA,Tourist,No,4,3,2,1,5,Usually no plan (never think of it),Disagree
34,,,,Middle East,,,,,,,,,
35,33-41,No income/student,About once a year,North America/USA,Tourist,No,1,2,5,4,3,Out of pocket payment,Agree
36,33-41,"$31,000 - $50,000",Multiple times a year,North America/USA,Business,Yes,2,1,3,4,5,Out of pocket payment,Agree
36,,,,Africa,Tourist,,,,,,,,
36,,,,Europe,Adventure/Physical challenge,,,,,,,,
37,33-41,"$51,000 -$75,000",Multiple times a year,North America/USA,Business,No,1,2,3,4,5,A regular insurance plan (with international coverage),Strongly agree
37,,,,South America,Tourist,,,,,,,,
37,,,,Europe,Adventure/Physical challenge,,,,,,,,
38,25-32,No income/student,Multiple times a year,North America/USA,Business,No,1,5,2,3,4,Travel insurance plan (specifically bought for your trip),Strongly disagree
38,,,,South America,Tourist,,,,,,,,
38,,,,Europe,Study Abroad,,,,,,,,
38,,,,,Adventure/Physical challenge,,,,,,,,
39,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,3,1,4,5,Usually no plan (never think of it),Agree
39,,,,Asia,Tourist,,,,,,,,
39,,,,Europe,,,,,,,,,
40,33-41,"$151,000 - $200,000",Multiple times a month,North America/USA,Business,Yes,2,3,1,4,5,A regular insurance plan (with international coverage),Strongly disagree
40,,,,Asia,Tourist,,,,,,,,
40,,,,Africa,Study Abroad,,,,,,,,
40,,,,Europe,,,,,,,,,
41,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,1,3,4,5,Usually no plan (never think of it),Agree
41,,,,Asia,Tourist,,,,,,,,
41,,,,Europe,Adventure/Physical challenge,,,,,,,,
42,25-32,No income/student,Multiple times a year,North America/USA,Business,No,1,3,2,4,5,Out of pocket payment,Agree
42,,,,Africa,Tourist,,,,,,,,
43,25-32,"$200,000+",About once a year,North America/USA,Business,Yes,5,1,3,4,2,Out of pocket payment,Agree
43,,,,Europe,Tourist,,,,,,,,
43,,,,,Study Abroad,,,,,,,,
44,25-32,No income/student,Multiple times a year,North America/USA,Business,No,3,1,2,5,4,Usually no plan (never think of it),Disagree
44,,,,,Tourist,,,,,,,,
44,,,,,Adventure/Physical challenge,,,,,,,,
45,33-41,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,1,3,2,4,5,Travel insurance plan (specifically bought for your trip),Strongly disagree
45,,,,Asia,Tourist,,,,,,,,
45,,,,,Adventure/Physical challenge,,,,,,,,
46,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,2,3,1,4,5,Usually no plan (never think of it),Neither agree nor disagree
46,,,,Europe,Adventure/Physical challenge,,,,,,,,
47,25-32,No income/student,Multiple times a year,Africa,Tourist,No,5,4,3,2,1,Usually no plan (never think of it),Agree
48,33-41,"$101,000 - $125,000",About once a month,North America/USA,Business,No,1,2,3,4,5,A regular insurance plan (with international coverage),Agree
48,,,,South America,Tourist,,,,,,,,
49,41-65,Skipped,Multiple times a year,North America/USA,Business,No,1,2,3,4,5,Out of pocket payment,Neither agree nor disagree
49,,,,Asia,Tourist,,,,,,,,
49,,,,Europe,,,,,,,,,
50,33-41,"$101,000 - $125,000",Multiple times a month,North America/USA,Business,No,1,5,2,4,3,A regular insurance plan (with international coverage),Agree
50,,,,Europe,Tourist,,,,,,,,
50,,,,Middle East,,,,,,,,,
51,25-32,"$101,000 - $125,000",Multiple times a year,Europe,Tourist,No,1,2,3,4,5,Travel insurance plan (specifically bought for your trip),Agree
52,33-41,"$101,000 - $125,001",About once a month,North America/USA,Business,No,3,1,2,4,5,Out of pocket payment,Agree
52,,,,,Tourist,,,,,,,,
52,,,,,Study Abroad,,,,,,,,
53,25-32,No income/student,About once a year,North America/USA,Business,No,5,4,2,1,3,Out of pocket payment,Neither agree nor disagree
53,,,,,Tourist,,,,,,,,
54,25-32,"$76,000 - $100,000",About once a month,North America/USA,Business,No,0,0,0,0,0,Travel insurance plan (specifically bought for your trip),Agree
54,,,,,Tourist,,,,,,,,
55,25-32,"$101,000 - $125,000",About once a year,Asia,Business,No,1,2,3,5,4,A regular insurance plan (with international coverage),Strongly disagree
55,,,,,Tourist,,,,,,,,
56,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,4,1,3,5,A regular insurance plan (with international coverage),Disagree
56,,,,South America,Tourist,,,,,,,,
56,,,,Europe,Adventure/Physical challenge,,,,,,,,
57,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Tourist,No,5,2,3,4,1,Usually no plan (never think of it),Neither agree nor disagree
67,,,,South America,Adventure/Physical challenge,,,,,,,,
58,33-41,"$76,000 - $100,000",Multiple times a year,North America/USA,Business,No,3,2,1,5,4,A regular insurance plan (with international coverage),Strongly disagree
58,,,,,Tourist,,,,,,,,
59,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,1,2,3,4,5,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
59,,,,Asia,Tourist,,,,,,,,
60,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,1,3,4,5,Usually no plan (never think of it),Disagree
60,,,,South America,Tourist,,,,,,,,
61,25-32,"$200,000+",Multiple times a year,North America/USA,Business,No,2,1,3,4,5,A regular insurance plan (with international coverage),Agree
61,,,,Europe,,,,,,,,,
61,,,,Middle East,,,,,,,,,
62,25-32,"$31,000 - $50,000",Multiple times a year,North America/USA,Business,No,1,4,2,3,5,Usually no plan (never think of it),Neither agree nor disagree
62,,,,Asia,Tourist,,,,,,,,
62,,,,Europe,Adventure/Physical challenge,,,,,,,,
63,19-24,"0-30,000",Multiple times a year,North America/USA,Tourist,No,2,5,3,1,4,Out of pocket payment,Disagree
63,,,,Asia,Other,,,,,,,,
64,19-24,No income/student,Multiple times a year,North America/USA,Tourist,Yes,3,2,1,5,4,Usually no plan (never think of it),Agree
64,,,,,Study Abroad,,,,,,,,
64,,,,,Adventure/Physical challenge,,,,,,,,
64,,,,,Other,,,,,,,,
65,33-41,"$101,000 - $125,000",Multiple times a year,North America/USA,Tourist,No,1,3,2,4,5,A regular insurance plan (with international coverage),Strongly agree
65,,,,Europe,,,,,,,,,
66,25-32,"$31,000 - $50,000",About once a year,North America/USA,Business,Yes,3,2,1,4,5,A regular insurance plan (with international coverage),Strongly agree
66,,,,Europe,Study Abroad,,,,,,,,
66,,,,,Other,,,,,,,,
67,25-32,No income/student,Multiple times a year,North America/USA,Business,No,4,1,2,3,5,Out of pocket payment,Disagree
67,,,,Europe,Tourist,,,,,,,,
67,,,,,Study Abroad,,,,,,,,
68,25-32,"$51,000 -$75,000",Multiple times a year,Europe,Tourist,No,1,5,2,3,4,A regular insurance plan (with international coverage),Strongly agree
69,19-24,"$31,000 - $50,000",Multiple times a year,Europe,Tourist,No,2,1,4,3,5,A regular insurance plan (with international coverage),Neither agree nor disagree
70,33-41,"$126,000 - $150,000",Multiple times a year,North America/USA,Tourist,Yes,2,4,1,3,5,Usually no plan (never think of it),Agree
70,,,,Africa,Other,,,,,,,,
70,,,,Europe,,,,,,,,,
71,33-41,"$200,000+",Multiple times a month,North America/USA,Business,No,2,1,3,4,5,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
71,,,,,Tourist,,,,,,,,
71,,,,,Study Abroad,,,,,,,,
71,,,,,Adventure/Physical challenge,,,,,,,,
71,,,,,Other,,,,,,,,
72,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,5,3,1,4,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
72,,,,South America,Tourist,,,,,,,,
72,,,,Asia,,,,,,,,,
72,,,,Europe,,,,,,,,,
73,19-24,No income/student,About once a year,North America/USA,Tourist,No,2,4,3,1,5,Usually no plan (never think of it),Neither agree nor disagree
73,,,,South America,,,,,,,,,
73,,,,Europe,,,,,,,,,
74,19-24,No income/student,About once a year,North America/USA,Tourist,No,2,3,1,4,5,Usually no plan (never think of it),Disagree
74,,,,Asia,,,,,,,,,
75,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,1,3,2,4,5,Out of pocket payment,Neither agree nor disagree
75,,,,South America,Tourist,,,,,,,,
76,25-32,"$76,000 - $100,000",Multiple times a year,South America,Business,No,1,2,3,5,4,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
76,,,,,Tourist,,,,,,,,
76,,,,,Study Abroad,,,,,,,,
77,25-32,"$126,000 - $150,000",Multiple times a year,North America/USA,Tourist,No,0,0,0,0,0,A regular insurance plan (with international coverage),Strongly disagree
77,,,,Asia,Other,,,,,,,,
77,,,,Middle East,,,,,,,,,
78,33-41,"$200,000+",About once a year,North America/USA,Business,No,3,1,4,5,2,Out of pocket payment,Disagree
78,,,,,Tourist,,,,,,,,
79,25-32,"$31,000 - $50,000",Multiple times a year,North America/USA,Tourist,No,1,2,3,4,5,Usually no plan (never think of it),Agree
79,,,,Europe,Other,,,,,,,,
80,25-32,"$76,000 - $100,000",Multiple times a year,North America/USA,Tourist,No,2,1,3,4,5,A regular insurance plan (with international coverage),Disagree
81,25-32,"$51,000 -$75,000",Multiple times a year,North America/USA,Tourist,No,5,3,1,2,4,Travel insurance plan (specifically bought for your trip),Agree
81,,,,Europe,Religious,,,,,,,,
82,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Business,No,4,3,1,2,5,A regular insurance plan (with international coverage),Disagree
82,,,,Europe,Tourist,,,,,,,,
83,25-32,"$51,000 -$75,000",Multiple times a year,North America/USA,Business,No,1,2,3,4,5,Usually no plan (never think of it),Neither agree nor disagree
83,,,,Africa,Tourist,,,,,,,,
84,25-32,"$76,000 - $100,000",Multiple times a year,North America/USA,Business,No,1,4,2,3,5,Usually no plan (never think of it),Agree
84,,,,Europe,Tourist,,,,,,,,
84,,,,Middle East,Adventure/Physical challenge,,,,,,,,
85,25-32,"$76,000 - $100,000",Multiple times a month,North America/USA,Business,No,1,2,3,4,5,A regular insurance plan (with international coverage),Strongly agree
85,,,,Asia,Tourist,,,,,,,,
85,,,,,Adventure/Physical challenge,,,,,,,,
86,25-32,"$51,000 -$75,000",Multiple times a year,Europe,Tourist,No,5,4,1,3,2,Usually no plan (never think of it),Disagree
87,25-32,"$126,000 - $150,000",Multiple times a year,North America/USA,Tourist,No,2,3,1,4,5,A regular insurance plan (with international coverage),Disagree
87,,,,Asia,Adventure/Physical challenge,,,,,,,,
87,,,,Europe,,,,,,,,,
88,25-32,"$76,000 - $100,000",Multiple times a year,South America,Tourist,No,0,0,0,0,0,Usually no plan (never think of it),Neither agree nor disagree
88,,,,Europe,,,,,,,,,
89,25-32,"$76,000 - $100,000",Multiple times a year,North America/USA,Tourist,No,4,1,2,3,5,Usually no plan (never think of it),Neither agree nor disagree
89,,,,Europe,,,,,,,,,
90,25-32,No income/student,About once a year,North America/USA,Business,No,1,2,3,4,5,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
90,,,,South America,Tourist,,,,,,,,
90,,,,Asia,Study Abroad,,,,,,,,
91,33-41,"$31,000 - $50,000",Multiple times a year,North America/USA,Business,No,1,3,2,4,5,A regular insurance plan (with international coverage),Agree
91,,,,Asia,Tourist,,,,,,,,
91,,,,Middle East,,,,,,,,,
92,25-32,"$101,000 - $125,000",About once a month,North America/USA,Business,No,1,5,2,3,4,Travel insurance plan (specifically bought for your trip),Disagree
92,,,,South America,Tourist,,,,,,,,
92,,,,Europe,Adventure/Physical challenge,,,,,,,,
93,25-32,"$51,000 -$75,000",Multiple times a year,North America/USA,Business,No,1,4,3,2,5,A regular insurance plan (with international coverage),Disagree
93,,,,,Tourist,,,,,,,,
93,,,,,Study Abroad,,,,,,,,
94,33-41,"$76,000 - $100,000",Multiple times a year,North America/USA,Business,No,5,1,2,3,4,A regular insurance plan (with international coverage),Agree
94,,,,,Tourist,,,,,,,,
95,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,2,1,3,4,5,Out of pocket payment,Strongly agree
95,,,,South America,,,,,,,,,
96,25-32,"$101,000 - $125,000",About once a month,North America/USA,Business,Yes,4,3,1,2,5,Travel insurance plan (specifically bought for your trip),Disagree
96,,,,,Tourist,,,,,,,,
96,,,,,Study Abroad,,,,,,,,
96,,,,,Other,,,,,,,,
97,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Tourist,No,2,1,3,4,5,Usually no plan (never think of it),Disagree
97,,,,Europe,,,,,,,,,
98,25-32,No income/student,Multiple times a year,North America/USA,Business,No,0,0,0,0,0,Out of pocket payment,Strongly agree
98,,,,South America,Tourist,,,,,,,,
98,,,,Europe,Adventure/Physical challenge,,,,,,,,
99,33-41,"$151,000 - $200,000",Less than once a year,North America/USA,Business,No,2,1,3,4,5,A regular insurance plan (with international coverage),Disagree
99,,,,,Other,,,,,,,,
100,25-32,"$151,000 - $200,000",Multiple times a year,North America/USA,Business,Yes,3,2,1,5,4,A regular insurance plan (with international coverage),Strongly disagree
100,,,,Europe,Tourist,,,,,,,,
